,artists,track,album,time (s),popularity,year,id
130,['Jason Derulo'],Whatcha Say,Jason Derulo,221.253,71,2010,67T6l4q3zVjC5nZZPXByU8
131,"['Sting', 'Royal Philharmonic Concert Orchestra', 'Steven Mercurio']","Russians - Live In Berlin, 2010",The Best Of 25 Years (Deluxe Edition),291.266,23,2010,2WHCgIxiOhsCKnWOEJ5ESd
132,['Gorillaz'],On Melancholy Hill,Plastic Beach,233.866,80,2010,0q6LuUqGLUiCPP1cbdwFs3
133,['David Bowie'],Golden Years - 2010 Harry Maslin Mix,Who Can I Be Now? [1974 - 1976],243.466,14,2010,71ZYI2PpE0kVokBbZcVMpJ
134,['Katy Perry'],The One That Got Away,Teenage Dream,227.333,74,2010,6hkOqJ5mE093AQf2lbZnsG
135,['Tabu Ley Rochereau'],Karibou Ya Bintou,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),343.333,22,2010,53ejLxDg918oFqbmmS4ivz
136,['Nelly'],Just A Dream,5.0,237.8,78,2010,3ZdJffjzJWFimSQyxgGIxN
137,"['Traditional', 'Josephine Poelinitz', 'Texas Two Year College All State Choir', 'Mary Scott Goode', 'Peter Bagley']",City Called Heaven (arr. J. Poelinitz),2010 Texas Music Educators Association (TMEA): Texas Two-Year College All-State Choir & Juan Seguin HS Chamber Choir,283.746,12,2010,6GUR4qdePjsCET9wde2hmp
138,['Cascada'],Everytime We Touch,Everytime We Touch (Premium Edition),197.124,77,2010,5YJtMNWKe55yr49cyJgxva
139,['Papa Wemba'],Maman,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),320.28,27,2010,2lUsTlzV4LFNK3MZM9Fr9r
140,['Kesha'],Your Love Is My Drug,Animal (Expanded Edition),187.133,75,2010,6vc2Jq2vaGu8z326kSrw92
141,"['Sting', 'Royal Philharmonic Concert Orchestra', 'Steven Mercurio']","The End Of The Game - Live In Berlin, 2010 /Without Intros",25 Years,360.013,18,2010,79DHXBYi340AlWipbQQAjt
142,['MARINA'],Oh No!,The Family Jewels,182.586,77,2010,4sNwdacKyi2S26WrRtNama
143,['Darwin Deez'],"Up in the Clouds - Live at The BBC for Zane Lowe / 5th May, 2010",Darwin Deez (10 Yearz),226.274,10,2010,4yLUGYCvGzeJmT4FLLc5Jf
144,['Drake'],Over,Thank Me Later,233.56,71,2010,6BdgtqiV3oXNqBikezwdvC
145,['Oumou Sangaré'],Moussoulou,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),311.533,25,2010,3FjeIS0rgoi6NLQ7Yk96kF
146,"['My Darkest Days', 'Zakk Wylde']",Porn Star Dancing,My Darkest Days,199.013,72,2010,3Q8zopc4ABXhysDb1sgLVW
147,"['Jaytech', 'James Grant']",Moth - Martin Roth Remix,Anjunadeep The Yearbook 2010,503.442,19,2010,0TZerjhybEtvdsF1urL2bS
148,['Sugarland'],Stuck Like Glue,The Incredible Machine,247.586,72,2010,0JcKdUGNR7zI4jJDLyYXbi
149,"['เคโอติก', 'รวมศิลปิน (เบส์ท ออฟ เดอะ เยียร์ 2010)']",เหงาปาก ( Alone ),BEST OF THE YEAR 2010,220.146,36,2010,1F0sXGOtHI1vO3rjJvmCnv
150,['Mike Posner'],Please Don't Go,31 Minutes to Takeoff,196.813,74,2010,6jg5SRvdGxvJ0DzNV0UqEK
151,['Darwin Deez'],"Radar Detector - Live at The BBC for Zane Lowe / 5th May, 2010",Darwin Deez (10 Yearz),198.709,8,2010,3phNePaFeDdxn0bdz5bZ1v
152,['CeeLo Green'],Fuck You,The Lady Killer,222.933,71,2010,4ycLiPVzE5KamivXrAzGFG
153,"['Donald Fagen', 'Walter Beckert', 'Pride of Mississippi Marching Band']",Reeling in the Years,Sounds of Southern Miss 2010,98.92,11,2010,2w4CBDRcrUlaRRExFzeWgM
154,"['Nicki Minaj', 'Drake']",Moment 4 Life,Pink Friday,279.306,74,2010,1ia019RqDK2o4QiANR1Dyn
155,['Yello'],Distant Solution - 2010,Yello 40 Years,230.04,24,2010,34f15u54lqj9sjx7DcaUdl
156,['Mac Miller'],Nikes On My Feet,K.I.D.S.,164.631,74,2010,29GefKRTSVW3ag4Xegm8jP
157,['Yello'],Tremendous Pain - 2010,Yello 40 Years,212.306,25,2010,1BpZuaBJUIJ88dgLKwbns3
158,"['Katy Perry', 'Snoop Dogg']",California Gurls,Teenage Dream,234.653,72,2010,6KOEK6SeCEZOQkLj5M1PxH
159,['Robin Trower'],Daydream - 2010 Remaster,A Tale Untold: The Chrysalis Years (1973-1976),387.613,10,2010,63TrSvGxb4fxDNGIWTuV2G
160,['Jason Derulo'],Ridin' Solo,Jason Derulo,215.746,70,2010,6BaxqcoEM9r3LXisTyJjST
161,['Orchestre de la Paillote'],Kadia Blues,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),284.386,20,2010,0hhIe5weVg6y8PNXG4xhYO
162,"['Flo Rida', 'David Guetta']",Club Can't Handle Me (feat. David Guetta),Only One Flo (Part 1),234.56,81,2010,6ebkx7Q5tTxrCxKq4GYj0Y
163,"['Sydney Guillaume', 'Juan Seguin High School Chamber Choir', 'Thomas Rinn']",Twa Tanbou,2010 Texas Music Educators Association (TMEA): Texas Two-Year College All-State Choir & Juan Seguin HS Chamber Choir,230.786,11,2010,5vQFVjZ68ZW2IreYMh5JFc
164,['Taylor Swift'],Back To December,Speak Now,293.026,70,2010,3DrjZArsPsoqbLzUZZV1Id
165,['The Last Ten Seconds of Life'],"Justice, Where Have You Been for so Many Years",2010-2012,137.506,9,2010,6XOBYWE0jLKGaKAq9Tlrr1
166,['Keri Hilson'],Pretty Girl Rock,No Boys Allowed,243.92,72,2010,2Adn2LNgkHMH5TelQVAu4n
167,['Robin Trower'],Gonna Be More Suspicious - 2010 Remaster,A Tale Untold: The Chrysalis Years (1973-1976),185.64,9,2010,6SAXG2lbXnu6HCYAYUNQQF
168,['Get Scared'],Sarcasm,Best Kind Of Mess,198.08,74,2010,40i81AcCCxiVEFUWElcjZC
169,['Robin Trower'],Too Rolling Stoned - Live / 2010 Remaster,A Tale Untold: The Chrysalis Years (1973-1976),400.0,8,2010,4mHxXnds2gqmfs1k1TV2sy
170,['Maroon 5'],Misery,Hands All Over (Deluxe),216.2,70,2010,6KBYk8OFtod7brGuZ3Y67q
171,['Matt Monro'],"Born Free - From ""Born Free"" Soundtrack / Remastered 2010",The Best Of The Capitol Years,169.253,11,2010,0rMTXm4p56i5oGD1nU5FB5
172,['Kanye West'],Dark Fantasy,My Beautiful Dark Twisted Fantasy,280.786,74,2010,7yNK27ZTpHew0c55VvIJgm
173,['Tegan and Sara'],Are You Ten Years Ago,The Complete Recollection: 1999 - 2010,197.6,8,2010,2GzCtFEOjHS06XBz3VhADR
174,['Mac Miller'],Kool Aid & Frozen Pizza,K.I.D.S.,157.54,73,2010,2TyjVO7KBdGHBvQxAnFFsa
175,['Pat Capocci'],I’ll Take Em All,The Press-Tone Early Years 2008-2010,125.306,19,2010,60VpqOFjAaqjtEZa4sLaqs
176,['MARINA'],Are You Satisfied?,The Family Jewels,198.96,75,2010,6lKRMylSZMtA7EqPl0pcdI
177,"['Yello', 'Heidi Happy']",Liquid Lies - 2010,Yello 40 Years,218.6,24,2010,693zEiJZRYo8wMFoePrHFo
178,['Sick Puppies'],You're Going Down,Tri-polar,187.346,70,2010,5omWAB5iNMHvbAfBSzkdu8
179,['Sean Patton'],Out-Partying 20-Year-Olds (Jfl 2010),"Just for Laughs - Funny AF, Vol. 3",196.462,8,2010,3P60wCLrOjlcaMk85cW2Cl
